state,country,date,cases,deaths
Bryansk Oblast,Russia,2021-01-30,28901,239
Buryatia Republic,Russia,2021-01-30,30262,663
Chechen Republic,Russia,2021-01-30,10758,107
Chelyabinsk Oblast,Russia,2021-01-30,43543,773
Chukotka Autonomous Okrug,Russia,2021-01-30,633,4
Chuvashia Republic,Russia,2021-01-30,19379,865
Dagestan Republic,Russia,2021-01-30,27847,1242
Ingushetia Republic,Russia,2021-01-30,13915,160
Irkutsk Oblast,Russia,2021-01-30,48406,1552
Ivanovo Oblast,Russia,2021-01-30,26598,748
Jewish Autonomous Okrug,Russia,2021-01-30,4161,106
Kabardino-Balkarian Republic,Russia,2021-01-30,18688,324
Kaliningrad Oblast,Russia,2021-01-30,23890,215
Kalmykia Republic,Russia,2021-01-30,17345,252
Kaluga Oblast,Russia,2021-01-30,25835,218
Kamchatka Krai,Russia,2021-01-30,12226,84
Karachay-Cherkess Republic,Russia,2021-01-30,17504,52
Karelia Republic,Russia,2021-01-30,35668,227
Kemerovo Oblast,Russia,2021-01-30,29246,519
Khabarovsk Krai,Russia,2021-01-30,44238,251
Khakassia Republic,Russia,2021-01-30,20333,384
Khanty-Mansi Autonomous Okrug,Russia,2021-01-30,47474,664
Kirov Oblast,Russia,2021-01-30,32214,265
Komi Republic,Russia,2021-01-30,36239,689
Kostroma Oblast,Russia,2021-01-30,16969,285
Krasnodar Krai,Russia,2021-01-30,33499,1451
Krasnoyarsk Krai,Russia,2021-01-30,56126,2318
Kurgan Oblast,Russia,2021-01-30,15141,206
Kursk Oblast,Russia,2021-01-30,26105,369
Leningrad Oblast,Russia,2021-01-30,30484,417
Lipetsk Oblast,Russia,2021-01-30,20783,368
Magadan Oblast,Russia,2021-01-30,7833,88
Mari El Republic,Russia,2021-01-30,10620,154
Mordovia Republic,Russia,2021-01-30,15966,136
Moscow,Russia,2021-01-30,927788,13368
Moscow Oblast,Russia,2021-01-30,191660,3731
Murmansk Oblast,Russia,2021-01-30,42996,820
Nenets Autonomous Okrug,Russia,2021-01-30,912,0
Nizhny Novgorod Oblast,Russia,2021-01-30,83972,2107
North Ossetia - Alania Republic,Russia,2021-01-30,14381,118
Novgorod Oblast,Russia,2021-01-30,23895,110
Novosibirsk Oblast,Russia,2021-01-30,32118,1216
Omsk Oblast,Russia,2021-01-30,37070,1079
Orel Oblast,Russia,2021-01-30,26560,348
